,Fault Source Name,Slip Rate,Lower Seismogenic Depth,Dip,Magnitude Scaling Relationship,Mmax (L),Mmax (P),Mmax (U)
233,ZonadefallasCoralaque,Pref,Pref,Upper,Pref,6.73,7.03,7.33
234,ZonadefallasHuaynaputina,Pref,Pref,Upper,Pref,6.81,7.11,7.41
235,ZonadefallasIchuna,Pref,Pref,Upper,Pref,7.24,7.54,7.84
236,ZonadefallasPastoGrande,Pref,Pref,Upper,Pref,7.0,7.3,7.6
237,ZonadefallasTicsani-Suches,Pref,Pref,Upper,Pref,6.87,7.17,7.47
238,FallaPurgatorio,Pref,Lower,Upper,Pref,6.91,7.21,7.51
239,FallaIncapuquio,Pref,Lower,Upper,Pref,7.15,7.45,7.75
240,FallaMicalaco,Pref,Lower,Upper,Pref,6.68,6.98,7.28
241,FallaCerroRocoso,Pref,Lower,Upper,Pref,6.28,6.58,6.88
242,FallaChascoso,Pref,Lower,Upper,Pref,5.9,6.2,6.5
243,FallaChololo,Pref,Lower,Upper,Pref,6.98,7.28,7.58
244,FallaChulibaya,Pref,Lower,Upper,Pref,6.12,6.42,6.72
245,FallaCupine-pampaTrapiche,Pref,Lower,Upper,Pref,7.19,7.49,7.79
246,FallaMesacalane,Pref,Lower,Upper,Pref,6.14,6.44,6.74
247,FallaTambo,Pref,Lower,Upper,Pref,6.84,7.14,7.44
248,FallaToquepala,Pref,Lower,Upper,Pref,6.93,7.23,7.53
249,ZonadefallasCarumas-Calacoa,Pref,Lower,Upper,Pref,6.99,7.29,7.59
250,ZonadefallasCoralaque,Pref,Lower,Upper,Pref,6.63,6.93,7.23
251,ZonadefallasHuaynaputina,Pref,Lower,Upper,Pref,6.71,7.01,7.31
252,ZonadefallasIchuna,Pref,Lower,Upper,Pref,7.15,7.45,7.75
253,ZonadefallasPastoGrande,Pref,Lower,Upper,Pref,6.91,7.21,7.51
254,ZonadefallasTicsani-Suches,Pref,Lower,Upper,Pref,6.77,7.07,7.37
255,FallaPurgatorio,Pref,Upper,Upper,Lower,7.08,7.38,7.68
256,FallaIncapuquio,Pref,Upper,Upper,Lower,7.33,7.63,7.93
257,FallaMicalaco,Pref,Upper,Upper,Lower,6.85,7.15,7.45
258,FallaCerroRocoso,Pref,Upper,Upper,Lower,6.45,6.75,7.05
259,FallaChascoso,Pref,Upper,Upper,Lower,6.08,6.38,6.68
260,FallaChololo,Pref,Upper,Upper,Lower,7.16,7.46,7.76
261,FallaChulibaya,Pref,Upper,Upper,Lower,6.3,6.6,6.9
262,FallaCupine-pampaTrapiche,Pref,Upper,Upper,Lower,7.37,7.67,7.97
263,FallaMesacalane,Pref,Upper,Upper,Lower,6.31,6.61,6.91
264,FallaTambo,Pref,Upper,Upper,Lower,7.01,7.31,7.61
265,FallaToquepala,Pref,Upper,Upper,Lower,7.1,7.4,7.7
266,ZonadefallasCarumas-Calacoa,Pref,Upper,Upper,Lower,7.17,7.47,7.77
267,ZonadefallasCoralaque,Pref,Upper,Upper,Lower,6.81,7.11,7.41
268,ZonadefallasHuaynaputina,Pref,Upper,Upper,Lower,6.89,7.19,7.49
269,ZonadefallasIchuna,Pref,Upper,Upper,Lower,7.32,7.62,7.92
270,ZonadefallasPastoGrande,Pref,Upper,Upper,Lower,7.08,7.38,7.68
271,ZonadefallasTicsani-Suches,Pref,Upper,Upper,Lower,6.95,7.25,7.55
272,FallaPurgatorio,Pref,Pref,Upper,Lower,7.0,7.3,7.6
273,FallaIncapuquio,Pref,Pref,Upper,Lower,7.25,7.55,7.85
274,FallaMicalaco,Pref,Pref,Upper,Lower,6.77,7.07,7.37
275,FallaCerroRocoso,Pref,Pref,Upper,Lower,6.37,6.67,6.97
276,FallaChascoso,Pref,Pref,Upper,Lower,6.0,6.3,6.6
277,FallaChololo,Pref,Pref,Upper,Lower,7.08,7.38,7.68
278,FallaChulibaya,Pref,Pref,Upper,Lower,6.22,6.52,6.82
279,FallaCupine-pampaTrapiche,Pref,Pref,Upper,Lower,7.29,7.59,7.89
280,FallaMesacalane,Pref,Pref,Upper,Lower,6.24,6.54,6.84
281,FallaTambo,Pref,Pref,Upper,Lower,6.93,7.23,7.53
282,FallaToquepala,Pref,Pref,Upper,Lower,7.02,7.32,7.62
283,ZonadefallasCarumas-Calacoa,Pref,Pref,Upper,Lower,7.09,7.39,7.69
284,ZonadefallasCoralaque,Pref,Pref,Upper,Lower,6.73,7.03,7.33
285,ZonadefallasHuaynaputina,Pref,Pref,Upper,Lower,6.81,7.11,7.41
286,ZonadefallasIchuna,Pref,Pref,Upper,Lower,7.24,7.54,7.84
287,ZonadefallasPastoGrande,Pref,Pref,Upper,Lower,7.0,7.3,7.6
288,ZonadefallasTicsani-Suches,Pref,Pref,Upper,Lower,6.87,7.17,7.47
289,FallaPurgatorio,Pref,Lower,Upper,Lower,6.91,7.21,7.51
290,FallaIncapuquio,Pref,Lower,Upper,Lower,7.15,7.45,7.75
291,FallaMicalaco,Pref,Lower,Upper,Lower,6.68,6.98,7.28
